"Ticks","placeholder","Changers","Stayers"
327,,940000,927818.8834463317
328,,947415.5555555555,932895.9945963335
329,,955491.6177777781,930792.7245362161
330,,940000,936615.004244079
331,,940000,946001.1379430878
332,,940000,943378.3800359812
333,,957233.3333333334,932203.3929920873
334,,959389.2546666667,932992.4706478249
335,,940000,938910.1685017702
336,,940000,931725.8403156012
337,,940000,940204.7991923513
338,,940000,949469.4142498664
339,,940000,953383.6034765189
340,,940000,945259.8635797392
341,,947415.5555555555,933207.674963372
342,,940000,934758.1479719892
343,,946433.7777777778,941310.0072117765
344,,954952.0368888888,940812.1694473351
345,,956174.348718222,946918.3983246293
346,,940000,953177.6166299465
347,,940000,948691.917285902
348,,940000,946909.6121200682
349,,943488.4444444445,937075.4207940027
350,,940000,941644.6251987021
351,,952324.4444444445,945196.0068060708
352,,954806.900888889,946508.3792270541
353,,956646.298152889,939434.4699964416
354,,940000,944559.9849906398
355,,950360.8888888889,942410.158578325
356,,955172.3311111114,948477.1613920695
357,,954981.3746022222,949698.092496498
358,,940000,940053.7161190814
359,,954288,945093.225223453
360,,940000,947937.3779468138
361,,940000,950762.2366693628
362,,940000,948693.8389165606
363,,955269.7777777778,941837.459784055
364,,957358.9382222221,948351.2876398473
365,,940000,951853.8362468493
366,,949379.1111111111,954816.750107864
367,,952694.7208888892,957424.8292681734
368,,940000,946889.2694610439
369,,953306.2222222222,949123.7696983078
370,,940000,946918.2170251084
371,,948397.3333333334,943867.3480081924
372,,956506.7760000004,944102.3885572652
373,,940000,944539.3239793656
374,,952324.4444444445,949864.5087190078
375,,959122.8168888891,945984.2231464866
376,,961015.6991711113,948309.0305144165
377,,940000,948467.7100699685
378,,940000,949804.9395633242
379,,948397.3333333334,959381.8935467516
380,,950710.5480000001,957312.3908387934
381,,948786.7470706666,969175.1898809366
382,,955810.0372532097,971681.2323992648
383,,955805.8248801768,953475.2316883381
384,,940000,964755.7886232195
385,,940000,967382.4469595548
386,,940000,952258.5041527811
387,,940000,949681.2308286981
388,,940000,950686.660600739
389,,940000,947733.427102261
390,,940000,955086.8735473651
391,,953306.2222222222,964329.254855938
392,,964489.6111111112,969396.4622497432
393,,968638.9512986665,953415.6884815757
394,,962314.2618592818,962417.7018735646
395,,940000,963002.3634501979
396,,948397.3333333334,965891.4458396431
397,,940000,958241.5854289095
398,,940000,960813.9712309481
399,,946433.7777777778,959322.8878434964
400,,940000,956702.0486805185
401,,940000,963383.565600929
402,,952324.4444444445,962290.4189955163
403,,959122.8168888892,961005.2306464089
404,,963460.0043159998,950025.1595519176
405,,940000,945080.827752981
406,,940000,959241.0432742517
407,,940000,952738.1057212625
408,,940000,958722.4514713044
409,,952324.4444444445,952300.1672887453
410,,955282.4782222223,952654.09789568
411,,940000,951037.059274618
412,,940000,955114.331272064
413,,940000,961780.3956649499
414,,940000,963528.9528745157
415,,947415.5555555555,950407.617240347
416,,955949.335111111,950939.8313471981
417,,940000,950960.4234043304
418,,940000,953082.1421776998
419,,940000,951792.4981059287
420,,940000,957736.1275399465
421,,940000,960949.8333744657
422,,940000,960170.3504395996
423,,940000,960037.968257577
424,,946433.7777777778,964105.8023296248
425,,952044.9928888892,961572.1974509286
426,,940000,957525.3805229894
427,,949379.1111111111,943992.0709412534
428,,940000,949222.5836585646
429,,951342.6666666666,952540.941506841
430,,962459.2946666671,953008.693447772
431,,940000,957221.5920704156
432,,940000,958294.8471649942
433,,953306.2222222222,954930.6718994767
434,,952915.0151111112,952299.0546781896
435,,940000,950974.7959839475
436,,949379.1111111111,947021.1675896085
437,,940000,943648.8822102251
438,,953306.2222222222,949900.8065423982
439,,961600.4271111116,951021.0041058579
440,,940000,958660.7425684895
441,,940000,954396.676406457
442,,948397.3333333334,958737.6728250133
443,,940000,949353.2745498553
444,,940000,957047.8967335408
445,,940000,956281.7707419724
446,,940000,960729.6316484453
447,,946433.7777777778,953398.3070693553
448,,955921.0515555555,957440.6408612039
449,,940000,956421.380971001
450,,940000,950278.8052694453
451,,946433.7777777778,955815.3314840646
452,,940000,954728.8025753754
453,,951342.6666666666,955273.0916960081
454,,940000,947049.5653732149
455,,940000,952956.3660779631
456,,940000,954565.7159401249
457,,940000,948047.6636718096
458,,940000,949110.8751505769
459,,952324.4444444445,947294.6518469107
460,,940000,950024.8849998108
461,,940000,947695.9002388341
462,,949379.1111111111,946310.2772986186
463,,955090.4675555555,949076.1851851115
464,,955810.6096395557,957118.1408603103
465,,959446.7608782605,962222.7782325287
466,,940000,966017.2948321442
467,,940000,965780.3610198166
468,,953306.2222222222,959632.5866975551
469,,962058.1444444444,957847.0329007268
470,,940000,958303.6520595845
471,,940000,966601.6384528996
472,,940000,969310.0483812452
473,,940000,964871.1252060366
474,,948397.3333333334,961399.0031872303
475,,965210.0480000004,958284.6637772503
476,,940000,962737.7416135162
477,,953306.2222222222,953557.0339237086
478,,960613.5524444446,953135.7937224499
479,,940000,960594.7722948244
480,,940000,960069.463910803
481,,940000,958850.7997013701
482,,954288,962977.1228243852
483,,959726.4013333333,964224.5166901359
484,,940000,969584.1254994512
485,,949379.1111111111,964460.7587918558
486,,940000,954529.3553644806
487,,940000,951860.0163236036
488,,940000,959662.5511901794
489,,945452,956958.382428499
490,,940000,961643.2210649382
491,,951342.6666666666,959305.2961916229
492,,956663.0666666669,948650.3247819998
493,,940000,961037.092589218
494,,940000,959633.2481908328
495,,940000,947358.3132575994
496,,940000,951818.1421579352
497,,940000,958256.2931093514
498,,946433.7777777778,958934.3301412627
499,,940000,951458.2390416176
500,,953306.2222222222,959639.7012119542
501,,940000,956306.5944613445
502,,946433.7777777778,963261.4096816372
503,,947711.216888889,972205.1834982022
504,,958150.4425995555,977737.3925932469
505,,940000,963509.6384617784
506,,940000,956074.1703327685
507,,940000,958161.0412114642
508,,946433.7777777778,956605.6340542921
509,,956396.6288888891,954142.4695048796
510,,954414.4528942225,963935.9128306406
511,,940000,961283.9238720991
512,,945452,961903.6211272719
513,,940000,956601.1775842488
514,,949379.1111111111,952817.6045091901
515,,956059.4822222225,957508.214363081
516,,940000,946220.6066717897
517,,940000,947311.9604809787
518,,940000,949326.6102856614
519,,948397.3333333334,959793.9012692026
